    == Status ==
Current time: 2022-11-19 21:24:59 (running for 03:24:08.25)
Memory usage on this node: 9.3/15.4 GiB 
Using AsyncHyperBand: num_stopped=323
Bracket: Iter 32.000: -0.9614356261372566 | Iter 16.000: -1.0854247627735139 | Iter 8.000: -1.2630366757392884 | Iter 4.000: -1.4273403955459594 | Iter 2.000: -1.5695729044914244 | Iter 1.000: -1.739674667930603
Resources requested: 0/20 CPUs, 0/1 GPUs, 0.0/7.33 GiB heap, 0.0/3.66 GiB objects (0.0/1.0 accelerator_type:G)
Result logdir: /home/braian/ray_results/train_cifar_2022-11-19_18-00-51
Number of trials: 324/324 (1 ERROR, 323 TERMINATED)
+-------------------------+------------+-----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+----------+------------+----------------------+
| Trial name              | status     | loc                   |   batch_size |   learning_rate |   cant_filtros_conv1 |   kernel_size_maxpool1 |   cant_filtros_conv2 |   kernel_size_maxpool2 |   full_l1 |   full_l2 |     loss |   accuracy |   training_iteration |
| train_cifar_40296_00038 | TERMINATED | 192.168.0.187:260432  |           16 |          0.0001 |                   18 |                      2 |                   16 |                      2 |       140 |       104 | 1.59544  |     0.413  |                    2 |
| train_cifar_40296_00039 | TERMINATED | 192.168.0.187:262566  |           16 |          0.0001 |                    6 |                      2 |                   22 |                      2 |       140 |       104 | 1.81959  |     0.3219 |                    1 |
| train_cifar_40296_00040 | TERMINATED | 192.168.0.187:262783  |           16 |          0.0001 |                   12 |                      2 |                   22 |                      2 |       140 |       104 | 1.76341  |     0.3589 |                    1 |
| train_cifar_40296_00041 | TERMINATED | 192.168.0.187:263913  |           16 |          0.0001 |                   18 |                      2 |                   22 |                      2 |       140 |       104 | 0.993208 |     0.6752 |                   50 |
| train_cifar_40296_00042 | TERMINATED | 192.168.0.187:264596  |           16 |          0.0001 |                    6 |                      2 |                   28 |                      2 |       140 |       104 | 1.81634  |     0.3418 |                    1 |
| train_cifar_40296_00043 | TERMINATED | 192.168.0.187:266894  |           16 |          0.0001 |                   12 |                      2 |                   28 |                      2 |       140 |       104 | 1.0062   |     0.6708 |                   50 |
| train_cifar_40296_00044 | TERMINATED | 192.168.0.187:299445  |           16 |          0.0001 |                   18 |                      2 |                   28 |                      2 |       140 |       104 | 1.03532  |     0.6702 |                   50 |
| train_cifar_40296_00045 | TERMINATED | 192.168.0.187:304929  |           16 |          0.0001 |                    6 |                      2 |                   16 |                      2 |       160 |       104 | 1.84605  |     0.3318 |                    1 |
| train_cifar_40296_00046 | TERMINATED | 192.168.0.187:307807  |           16 |          0.0001 |                   12 |                      2 |                   16 |                      2 |       160 |       104 | 1.59721  |     0.4181 |                    2 |
| train_cifar_40296_00047 | TERMINATED | 192.168.0.187:311089  |           16 |          0.0001 |                   18 |                      2 |                   16 |                      2 |       160 |       104 | 1.59277  |     0.4282 |                    2 |
| train_cifar_40296_00048 | TERMINATED | 192.168.0.187:314681  |           16 |          0.0001 |                    6 |                      2 |                   22 |                      2 |       160 |       104 | 1.76544  |     0.3462 |                    1 |
| train_cifar_40296_00049 | TERMINATED | 192.168.0.187:317157  |           16 |          0.0001 |                   12 |                      2 |                   22 |                      2 |       160 |       104 | 1.4547   |     0.475  |                    4 |
| train_cifar_40296_00050 | TERMINATED | 192.168.0.187:322237  |           16 |          0.0001 |                   18 |                      2 |                   22 |                      2 |       160 |       104 | 1.04807  |     0.642  |                   32 |
| train_cifar_40296_00051 | TERMINATED | 192.168.0.187:329962  |           16 |          0.0001 |                    6 |                      2 |                   28 |                      2 |       160 |       104 | 1.61091  |     0.4006 |                    2 |
| train_cifar_40296_00052 | TERMINATED | 192.168.0.187:333722  |           16 |          0.0001 |                   12 |                      2 |                   28 |                      2 |       160 |       104 | 1.13675  |     0.5976 |                   16 |
| train_cifar_40296_00053 | TERMINATED | 192.168.0.187:344946  |           16 |          0.0001 |                   18 |                      2 |                   28 |                      2 |       160 |       104 | 1.01023  |     0.6833 |                   50 |
