+-------------------------+------------+----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+---------+------------+----------------------+
| Trial name              | status     | loc                  |   batch_size |   learning_rate |   cant_filtros_conv1 |   kernel_size_maxpool1 |   cant_filtros_conv2 |   kernel_size_maxpool2 |   full_l1 |   full_l2 |    loss |   accuracy |   training_iteration |
| train_cifar_2acc2_00000 | TERMINATED | 192.168.0.187:278966 |            8 |     0.018733    |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.3079   |     0.0991 |                    1 |
| train_cifar_2acc2_00001 | TERMINATED | 192.168.0.187:278992 |           16 |     0.000106647 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 0.974953 |     0.6996 |                   50 |
| train_cifar_2acc2_00002 | TERMINATED | 192.168.0.187:279977 |           32 |     0.0191838   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30482  |     0.1012 |                    1 |
| train_cifar_2acc2_00003 | TERMINATED | 192.168.0.187:280751 |            8 |     0.000142682 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.05165  |     0.6907 |                   32 |
| train_cifar_2acc2_00004 | TERMINATED | 192.168.0.187:309385 |           16 |     0.00265781  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.52824  |     0.4463 |                    2 |
| train_cifar_2acc2_00005 | TERMINATED | 192.168.0.187:310918 |           32 |     0.00439926  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30273  |     0.1027 |                    1 |
| train_cifar_2acc2_00006 | TERMINATED | 192.168.0.187:311507 |            8 |     0.0059352   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.3031   |     0.0982 |                    1 |
| train_cifar_2acc2_00007 | TERMINATED | 192.168.0.187:312099 |           16 |     0.00016965  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.27939  |     0.5404 |                    4 |
| train_cifar_2acc2_00008 | TERMINATED | 192.168.0.187:312501 |           32 |     0.000105492 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.56346  |     0.4408 |                    2 |
| train_cifar_2acc2_00009 | TERMINATED | 192.168.0.187:313841 |            8 |     0.0394761   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.3124   |     0.1004 |                    1 |
| train_cifar_2acc2_00010 | TERMINATED | 192.168.0.187:314824 |           16 |     0.0117483   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30668  |     0.1009 |                    1 |
| train_cifar_2acc2_00011 | TERMINATED | 192.168.0.187:315232 |           32 |     0.000981368 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.01066  |     0.6541 |                   16 |
| train_cifar_2acc2_00012 | TERMINATED | 192.168.0.187:315636 |            8 |     0.00136917  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.18531  |     0.5856 |                    8 |
| train_cifar_2acc2_00013 | TERMINATED | 192.168.0.187:323196 |           16 |     0.00152476  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.15241  |     0.6004 |                    8 |
| train_cifar_2acc2_00014 | TERMINATED | 192.168.0.187:325871 |           32 |     0.00423081  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.3028   |     0.103  |                    1 |
| train_cifar_2acc2_00015 | TERMINATED | 192.168.0.187:326481 |            8 |     0.00523386  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30393  |     0.0989 |                    1 |
| train_cifar_2acc2_00016 | TERMINATED | 192.168.0.187:327457 |           16 |     0.000442349 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.01066  |     0.6569 |                   16 |
| train_cifar_2acc2_00017 | TERMINATED | 192.168.0.187:329386 |           32 |     0.00778919  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30323  |     0.1024 |                    1 |
| train_cifar_2acc2_00018 | TERMINATED | 192.168.0.187:330160 |            8 |     0.000884607 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.07324  |     0.6489 |                   16 |
| train_cifar_2acc2_00019 | TERMINATED | 192.168.0.187:338491 |           16 |     0.0498981   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.31337  |     0.1046 |                    1 |
| train_cifar_2acc2_00020 | TERMINATED | 192.168.0.187:339278 |           32 |     0.000310585 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.39209  |     0.488  |                    2 |
| train_cifar_2acc2_00021 | TERMINATED | 192.168.0.187:340457 |            8 |     0.0229843   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.3078   |     0.0968 |                    1 |
| train_cifar_2acc2_00022 | TERMINATED | 192.168.0.187:341252 |           16 |     0.0207222   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30494  |     0.0982 |                    1 |
| train_cifar_2acc2_00023 | TERMINATED | 192.168.0.187:342028 |           32 |     0.000105246 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.54869  |     0.4424 |                    2 |
| train_cifar_2acc2_00024 | TERMINATED | 192.168.0.187:343190 |            8 |     0.00033085  |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.21391  |     0.6701 |                   32 |
| train_cifar_2acc2_00025 | TERMINATED | 192.168.0.187:344749 |           16 |     0.0145591   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30498  |     0.098  |                    1 |
| train_cifar_2acc2_00026 | TERMINATED | 192.168.0.187:345348 |           32 |     0.0234811   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30477  |     0.0999 |                    1 |
| train_cifar_2acc2_00027 | TERMINATED | 192.168.0.187:345972 |            8 |     0.0422101   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.30662  |     0.1018 |                    1 |
| train_cifar_2acc2_00028 | TERMINATED | 192.168.0.187:346862 |           16 |     0.0970355   |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 2.31176  |     0.0962 |                    1 |
| train_cifar_2acc2_00029 | TERMINATED | 192.168.0.187:347662 |           32 |     0.000124392 |                   18 |                      2 |                   28 |                      3 |       160 |       104 | 1.50472  |     0.4515 |                    2 |
+-------------------------+------------+----------------------+--------------+-----------------+----------------------+------------------------+----------------------+------------------------+-----------+-----------+----------+------------+----------------------+
